,0,ambientRaw,ambientTemp,descriptor,epoch,objectRaw,objectTemp,timestamp
636,1664398292.044683,,,,,,,
637,2.0,,,,,,,
638,542147.0,,,,,,,
639,13500.0,,,,,,,
640,64482.0,,,,,,,
641,295.3069763183594,,,,,,,
642,295.4112548828125,,,,,,,
643,1664398292.0588129,,,,,,,
644,3.0,,,,,,,
645,542149.0,,,,,,,
646,12750.0,,,,,,,
647,65092.0,,,,,,,
648,295.0627746582031,,,,,,,
649,296.7675476074219,,,,,,,
650,1664398292.068387,,,,,,,
651,4.0,,,,,,,
652,542150.0,,,,,,,
653,12806.0,,,,,,,
654,65069.0,,,,,,,
655,295.2662658691406,,,,,,,
656,296.56964111328125,,,,,,,
657,1664398292.071161,,,,,,,
658,5.0,,,,,,,
659,542152.0,,,,,,,
660,13280.0,,,,,,,
661,65046.0,,,,,,,
662,294.6325378417969,,,,,,,
663,296.2582092285156,,,,,,,
664,1664398292.073856,,,,,,,
665,1.0,,,,,,,
666,543146.0,,,,,,,
667,13086.0,,,,,,,
668,64502.0,,,,,,,
669,294.9755859375,,,,,,,
670,295.0164794921875,,,,,,,
671,1664398293.049875,,,,,,,
672,2.0,,,,,,,
673,543147.0,,,,,,,
674,13500.0,,,,,,,
675,64485.0,,,,,,,
676,295.3069763183594,,,,,,,
677,295.41925048828125,,,,,,,
678,1664398293.0610251,,,,,,,
679,3.0,,,,,,,
680,543149.0,,,,,,,
681,12749.0,,,,,,,
682,65105.0,,,,,,,
683,295.0569763183594,,,,,,,
684,296.7962646484375,,,,,,,
685,1664398293.073429,,,,,,,
686,4.0,,,,,,,
687,543150.0,,,,,,,
688,12806.0,,,,,,,
689,65087.0,,,,,,,
690,295.2662658691406,,,,,,,
691,296.6203308105469,,,,,,,
692,1664398293.076289,,,,,,,
693,5.0,,,,,,,
694,543151.0,,,,,,,
695,13280.0,,,,,,,
696,65056.0,,,,,,,
697,294.6325378417969,,,,,,,
698,296.28717041015625,,,,,,,
699,1664398293.079037,,,,,,,
700,1.0,,,,,,,
701,544146.0,,,,,,,
702,13083.0,,,,,,,
703,64502.0,,,,,,,
704,294.9581298828125,,,,,,,
705,294.9990234375,,,,,,,
706,1664398294.042145,,,,,,,
707,2.0,,,,,,,
708,544147.0,,,,,,,
709,13502.0,,,,,,,
710,64483.0,,,,,,,
711,295.318603515625,,,,,,,
712,295.425537109375,,,,,,,
713,1664398294.058408,,,,,,,
714,3.0,,,,,,,
715,544149.0,,,,,,,
716,12749.0,,,,,,,
717,65096.0,,,,,,,
718,295.0569763183594,,,,,,,
719,296.7724304199219,,,,,,,
720,1664398294.0648892,,,,,,,
721,4.0,,,,,,,
722,544150.0,,,,,,,
723,12808.0,,,,,,,
724,65077.0,,,,,,,
725,295.27789306640625,,,,,,,
726,296.6036682128906,,,,,,,
727,1664398294.067898,,,,,,,
728,5.0,,,,,,,
729,544151.0,,,,,,,
730,13281.0,,,,,,,
731,65054.0,,,,,,,
732,294.63836669921875,,,,,,,
733,296.287109375,,,,,,,
734,1664398294.070691,,,,,,,
735,1.0,,,,,,,
736,545146.0,,,,,,,
737,13083.0,,,,,,,
738,64503.0,,,,,,,
739,294.9581298828125,,,,,,,
740,295.0015563964844,,,,,,,
741,1664398295.0450299,,,,,,,
742,2.0,,,,,,,
743,545147.0,,,,,,,
744,13502.0,,,,,,,
745,64486.0,,,,,,,
746,295.318603515625,,,,,,,
747,295.43353271484375,,,,,,,
748,1664398295.058845,,,,,,,
749,3.0,,,,,,,
750,545149.0,,,,,,,
751,12749.0,,,,,,,
752,65085.0,,,,,,,
753,295.0569763183594,,,,,,,
754,296.7433166503906,,,,,,,
755,1664398295.068898,,,,,,,
756,4.0,,,,,,,
757,545150.0,,,,,,,
758,12806.0,,,,,,,
759,65063.0,,,,,,,
760,295.2662658691406,,,,,,,
761,296.5527648925781,,,,,,,
762,1664398295.0720158,,,,,,,
763,5.0,,,,,,,
764,545152.0,,,,,,,
765,13280.0,,,,,,,
766,65043.0,,,,,,,
767,294.6325378417969,,,,,,,
768,296.24951171875,,,,,,,
769,1664398295.075026,,,,,,,
770,1.0,,,,,,,
771,546146.0,,,,,,,
772,13083.0,,,,,,,
773,64500.0,,,,,,,
774,294.9581298828125,,,,,,,
775,294.993896484375,,,,,,,
776,1664398296.050448,,,,,,,
777,2.0,,,,,,,
778,546147.0,,,,,,,
779,13501.0,,,,,,,
780,64486.0,,,,,,,
781,295.3127746582031,,,,,,,
